example_id,family,domain,profile_variant,zone,query_kind,query,action,prediction,pred_relation,decision_confidence,pred_family,pred_profile_variant,pred_owner,pred_information_type,pred_temporal_validity,memory_parse_mode,decision_parse_mode,structured_memory,decision_raw_output
writing_conciseness-test-003-near-scoped,writing_conciseness,writing,scoped,near,near,I am unsure whether I need the summary or the full explanation.,CLARIFY,IGNORE,unknown,0.0,writing_directness,scoped,session_owner,temporary_constraint,context-dependent,json,json,"{""preference"": ""write_directness"", ""family"": ""writing_directness"", ""owner"": ""session_owner"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""this_request_is_unusually_urgent"", ""does_not_apply_when"": ""not_a_general_preference_for_every_conversation"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""I am about to join a meeting, so this request is unusually urgent."", ""The short answer is only for time-pressured situations.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":"""",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
writing_formality-test-015-near-scoped,writing_formality,writing,scoped,near,near,Polish this text; I am not sure yet whether it is for a professor or a friend.,CLARIFY,IGNORE,unknown,0.0,writing_formality,scoped,academic_or_official_recipient,temporary_constraint,context-dependent,json,json,"{""preference"": ""write_formality"", ""family"": ""writing_formality"", ""owner"": ""academic_or_official_recipient"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""session_5"", ""does_not_apply_when"": ""session_1, session_2, session_3, session_4, session_6, session_7"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""Another message asked for a summary of a news article."", ""There was a separate exchange about organizing files on a laptop.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":""The information provided is insufficient to determine the appropriate action."",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
writing_conciseness-test-012-inside-stable,writing_conciseness,writing,stable,inside,inside,Treat this as a rapid-fire question and keep it brief.,APPLY,IGNORE,mismatch,0.0,writing_directness,stable,writing_conciseness,temporary_constraint,context-dependent,json,json,"{""preference"": ""write_directness"", ""family"": ""writing_directness"", ""owner"": ""writing_conciseness"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""context-dependent"", ""does_not_apply_when"": ""education_answer_only,travel_budget,food_spiciness,travel_proximity,travel_comfort,food_vegetarian"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""Brevity is a persistent interaction preference for me."", ""Please keep this answer short and direct.""], ""permission"": ""response_personalization"", ""profile_variant"": ""stable""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":"""",""reason"":""The query 'Treat this as a rapid-fire question and keep it brief' does not provide enough information to determine if the preference should apply.""}"
food_vegetarian-test-000-near-scoped,food_vegetarian,food,scoped,near,near,"Recommend food, but I have not confirmed whether my sister is attending.",CLARIFY,IGNORE,mismatch,0.0,food_vegetarian,scoped,,temporary_constraint,context-dependent,json,json,"{""preference"": ""food_vegetarian"", ""family"": ""food_vegetarian"", ""owner"": """", ""information_type"": ""temporary_constraint"", ""applies_when"": ""this_request"", ""does_not_apply_when"": ""other_requests"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""There was an unrelated request to rename several documents."", ""This meat-free request applies only when I am cooking for her.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":"""",""reason"":""The query 'I have not confirmed whether my sister is attending' does not specify any information about payment sources or preferences related to food type.""}"
travel_comfort-test-006-near-scoped,travel_comfort,travel,scoped,near,near,My present recovery status has not been specified.,CLARIFY,IGNORE,unknown,0.0,travel_comfort,scoped,session_5,temporary_constraint,context-dependent,json,json,"{""preference"": ""travel_comfort"", ""family"": ""travel_comfort"", ""owner"": ""session_5"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""Session 6"", ""does_not_apply_when"": ""Session 7"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""Session 6: For this trip, choose the most comfortable option."", ""Session 7: After recovery, I usually accept basic low-cost travel.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":"""",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
travel_proximity-test-001-near-scoped,travel_proximity,travel,scoped,near,near,The purpose and schedule of the visit are still unclear.,CLARIFY,IGNORE,mismatch,0.0,travel_comfort,scoped,,temporary_constraint,context-dependent,json,json,"{""preference"": ""travel_proximity"", ""family"": ""travel_comfort"", ""owner"": """", ""information_type"": ""temporary_constraint"", ""applies_when"": ""this_trip"", ""does_not_apply_when"": ""normal_vacations"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""This is a one-day business visit with meetings from early morning."", ""Another message asked for a summary of a news article."", ""On normal vacations, I prefer quieter hotels outside crowded centers.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The information provided about the purpose and schedule of the visit is insufficient to determine whether to apply the personalization rule."",""reason"":""The query does not satisfy any specific condition that would either apply or ignore the personalization.""}"
writing_conciseness-test-014-near-scoped,writing_conciseness,writing,scoped,near,near,Should this be a quick answer or a tutorial? I have not decided.,CLARIFY,IGNORE,unknown,0.0,writing_directness,scoped,none,temporary_constraint,context-dependent,json,json,"{""preference"": ""write_directness"", ""family"": ""writing_directness"", ""owner"": ""none"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""when_urgency_is_higher_than_normal"", ""does_not_apply_when"": ""not_urgent_or_time_pressured"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""When joining a meeting, this request is unusually urgent."", ""This request is unusual in urgency compared to normal conversations.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":""The information provided is insufficient to determine whether this should be a quick answer or a tutorial."",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
travel_proximity-test-009-near-scoped,travel_proximity,travel,scoped,near,near,"Suggest lodging, although I have not decided the trip itinerary.",CLARIFY,IGNORE,mismatch,0.0,travel_comfort,scoped,,temporary_constraint,context-dependent,json,json,"{""preference"": ""travel_proximity"", ""family"": ""travel_comfort"", ""owner"": """", ""information_type"": ""temporary_constraint"", ""applies_when"": ""this_trip"", ""does_not_apply_when"": ""normal_vacations"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""This is a one-day business visit with meetings from early morning."", ""The walking-distance request is not a general preference.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The query suggests lodging without specifying whether it's for a specific trip or just in general."", ""reason"":""The information type is temporary constraint, and there is no clear indication of how the response should apply to the current context.""}"
writing_formality-test-012-near-scoped,writing_formality,writing,scoped,near,near,"Adjust the tone, but the recipient has not been decided.",CLARIFY,IGNORE,mismatch,0.0,writing_formality,scoped,professor,audience_specific_requirement,context-dependent,json,json,"{""preference"": ""write_formality"", ""family"": ""writing_formality"", ""owner"": ""professor"", ""information_type"": ""audience_specific_requirement"", ""applies_when"": ""addressed_to_a_professor"", ""does_not_apply_when"": ""academic_or_official_recipients"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""We also discussed a calendar reminder for next month."", ""A different session was about fixing a small Python error.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":"""",""reason"":""The query 'Adjust the tone' does not specify a particular recipient, making it unclear whether the change should apply universally or just to the specified recipient.""}"
food_spiciness-test-006-near-scoped,food_spiciness,food,scoped,near,near,I have not said whether the medicine course is complete.,CLARIFY,IGNORE,unknown,0.0,food_spiciness,scoped,,temporary_constraint,context-dependent,json,json,"{""preference"": ""food_spiciness"", ""family"": ""food_spiciness"", ""owner"": """", ""information_type"": ""temporary_constraint"", ""applies_when"": ""during_this_treatment_period"", ""does_not_apply_when"": ""not_during_this_treatment_period"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""Session 6: The mild-food request applies only during this treatment period."", ""Session 7: Normally I enjoy very spicy food."", ""Session 4: My stomach is temporarily sensitive because of medication.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":"""",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
food_spiciness-test-011-near-scoped,food_spiciness,food,scoped,near,near,I have not said whether the medicine course is complete.,CLARIFY,IGNORE,unknown,0.0,travel_comfort,scoped,,temporary_constraint,context-dependent,json,json,"{""preference"": ""travel_comfort"", ""family"": ""travel_comfort"", ""owner"": """", ""information_type"": ""temporary_constraint"", ""applies_when"": ""session_7"", ""does_not_apply_when"": ""all_sessions_except_session_7"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""My stomach is temporarily sensitive because of medication."", ""The mild-food request applies only during this treatment period."", ""There was an unrelated request to rename several documents.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":"""",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
education_detail-test-005-near-scoped,education_detail,education,scoped,near,near,Choose the amount of explanation; my current goal is unclear.,CLARIFY,IGNORE,unknown,0.0,writing_conciseness,scoped,routine_checks_and_timed_quizzes,temporary_constraint,context-dependent,json,json,"{""preference"": ""education_answer_only"", ""family"": ""writing_conciseness"", ""owner"": ""routine_checks_and_timed_quizzes"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""session_7"", ""does_not_apply_when"": ""all_other_sessions"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""Another short conversation concerned a book recommendation."", ""This topic is new to me, so I need extra detail for this lesson.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":"""",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
education_answer_only-test-001-near-scoped,education_answer_only,education,scoped,near,near,"Respond to the problem, but I have not described the learning context.",CLARIFY,IGNORE,mismatch,0.0,writing_conciseness,scoped,session_5,temporary_constraint,context-dependent,json,json,"{""preference"": ""answer_only"", ""family"": ""writing_conciseness"", ""owner"": ""session_5"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""timed_practice_round"", ""does_not_apply_when"": ""general_learning_style"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""Just tell me the correct answer."", ""Another message asked for a summary of a news article.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The query asks about the learning context, which you haven't provided any information related to that."",""reason"":""The current query doesn't relate directly to the memory's content.""}"
writing_directness-test-006-near-scoped,writing_directness,writing,scoped,near,near,"Write the message, although I have not said whether this is a conflict.",CLARIFY,IGNORE,mismatch,0.0,writing_directness,scoped,,temporary_constraint,context-dependent,json,json,"{""preference"": ""write_directness"", ""family"": ""writing_directness"", ""owner"": """", ""information_type"": ""temporary_constraint"", ""applies_when"": ""unrelated_request"", ""does_not_apply_when"": ""general_preference"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""It is not my general approach for every audience."", ""This is an internal logistics message where speed matters.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The query indicates that you have not specified whether this is a conflict, which could affect how we handle the message."",""reason"":""The query's wording suggests ambiguity regarding the nature of the request.""}"
writing_directness-test-009-near-scoped,writing_directness,writing,scoped,near,near,"Write the message, although I have not said whether this is a conflict.",CLARIFY,IGNORE,mismatch,0.0,writing_directness,scoped,internal_logistics_message,temporary_constraint,context-dependent,json,json,"{""preference"": ""write_directness"", ""family"": ""writing_directness"", ""owner"": ""internal_logistics_message"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""speed_matters"", ""does_not_apply_when"": ""general_approach_for_every_audience"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""Please make the message very direct.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The query suggests writing the message directly, even though you haven't specified if there's a conflict. This doesn't necessarily mean we should ignore your preference for directness."",""reason"":""The query indicates a need for clarity on whether there's a conflict, which which isn't addressed by simply ignoring the preference.""}"
travel_comfort-test-015-near-scoped,travel_comfort,travel,scoped,near,near,"Recommend travel, but it is unclear whether I still need accessibility support.",CLARIFY,IGNORE,unknown,0.0,travel_comfort,scoped,session_5,temporary_constraint,context-dependent,json,json,"{""preference"": ""travel_comfort"", ""family"": ""travel_comfort"", ""owner"": ""session_5"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""Session 5"", ""does_not_apply_when"": ""Session 1, Session 2, Session 3, Session 4, Session 6, Session 7"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""There was a separate exchange about organizing files on a laptop."", ""After recovery, I usually accept basic low-cost travel.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":""The information provided is insufficient to determine if the user needs accessibility support."",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
